CIK list from SEC website. ALL 
,0
1062,1249491
1063,1304460
1064,1296571
1065,1188755
1066,1231452
1067,1088534
1068,879573
1069,750641
1070,857694
1071,1238078
1072,1302339
1073,1262690
1074,902407
1075,225759
1076,1247187
1077,1020716
1078,1292905
1079,1189982
1080,1300154
1081,1297984
1082,1190371
1083,1223667
1084,1180852
1085,1157075
1086,1203304
1087,1304904
1088,865177
1089,1204167
1090,1299649
1091,352949
1092,1094252
1093,1026772
1094,1081825
1095,1297350
1096,1296734
1097,1138586
1098,1245994
1099,1180684
1100,1237365
1101,1218275
1102,1243858
1103,1304100
1104,709355
1105,1072615
1106,1242004
1107,1299521
1108,923156
1109,800083
1110,1287835
1111,1241039
1112,1275295
1113,1245978
1114,1282281
1115,1191718
1116,1266565
1117,949953
1118,1184482
1119,1212290
1120,1294356
1121,1226183
1122,916823
1123,1296904
1124,317082
1125,744825
1126,1134791
1127,877984
1128,792979
1129,1231569
1130,1303524
1131,1249184
1132,1216766
1133,1091561
1134,1077987
1135,1239918
1136,1248258
1137,99250
1138,1184663
1139,1254859
1140,908142
1141,1179210
1142,1216823
1143,1035181
1144,1066476
1145,1119225
1146,1198754
1147,1288136
1148,1291752
1149,1200048
1150,1104492
1151,107833
1152,1296569
1153,1285889
1154,939219
1155,1036710
1156,1252320
1157,1253074
1158,1068799
1159,1198448
1160,1057571
1161,1271990
1162,41499
1163,1298359
1164,1093739
1165,34862
1166,1179346
1167,1294625
1168,1175636
1169,1194326
1170,1287078
1171,1294613
1172,790500
1173,1089067
1174,1224189
1175,1078271
1176,1260972
1177,867248
1178,874015
1179,1189452
1180,1142403
1181,1233038
1182,1205004
1183,27825
1184,1161663
1185,13372
1186,1009626
1187,835012
1188,1051902
1189,1133893
1190,1189409
1191,1188731
1192,826662
1193,1304392
1194,1186873
1195,1297347
1196,1289987
1197,844872
1198,723527
1199,1256335
1200,1039531
1201,1246187
1202,1179870
1203,1108372
1204,1192968
1205,1199873
1206,1258824
1207,1224171
1208,937615
1209,1168889
1210,1019940
1211,1170901
1212,1291786
1213,1243418
1214,860413
1215,884299
1216,1038989
1217,1182456
1218,1240429
1219,1291733
1220,1239041
1221,1229613
1222,1258623
1223,1293338
1224,1243112
1225,1189201
1226,935945
1227,1220874
1228,1302365
1229,914478
1230,1231174
1231,17843
